chunk	overlap	alpha	k	rerank  ctx_P	ctx_R	id_P	id_R	note	    timestamp
700	    110	    0.8	    7	40      0.434	0.325	0.496	0.325	+baseline	2025-07-23T15:00
700	    180	    0.8	    7	40      0.413	0.317	0.471	0.317	+baseline	2025-07-23T15:40
600	    150	    0.8	    7	40      0.412	0.301	0.471	0.301	+baseline	2025-07-23T16:10
750	    150	    0.8	    7	40      0.426	0.331	0.487	0.331	+baseline	2025-07-23T16:58
750	    150	    0.8	    7	40      0.435	0.336	0.508	0.336	+baseline	2025-07-23T17:14
700	    110	    0.8	    7	40      0.439	0.331	0.500	0.331	+baseline	2025-07-23T17:47
700	    110	    0.7	    7	40      0.423	0.325	0.487	0.325	+baseline	2025-07-23T18:10
700	    110	    0.85	7	40      0.422	0.321	0.479	0.321	+baseline	2025-07-23T18:16
700	    110	    0.9	    7	40      0.434	0.328	0.500	0.328	+baseline	2025-07-23T18:22
700	    110	    0.95	7	40      0.439	0.337	0.513	0.337	+baseline	2025-07-23T18:29
700	    110	    1	    7	40      0.432	0.329	0.496	0.329	+baseline	2025-07-23T18:43
700	    110	    0.95	5	40      0.522	0.298	0.576	0.298	+baseline	2025-07-23T19:18
700	    110	    0.95	10	40      0.348	0.384	0.421	0.384	+baseline	2025-07-23T19:25
700	    85	    0.95	5	40      0.492	0.291	0.553	0.291	+baseline	2025-07-23T19:53
700	    135	    0.95	5	40      0.496	0.274	0.553	0.274	+baseline	2025-07-23T20:43
700	    110	    0.95	7	100	    0.421	0.324	0.492	0.324	+baseline	2025-07-24T00:31
700	    110	    0.95	7	40	    0.424	0.330	0.492	0.330	+baseline	2025-07-24T02:41
700	    110	    0.95	7	40	    0.436	0.335	0.508	0.335	+baseline	2025-07-24T03:59
700	    110	    dynamic	7	40	    0.414	0.322	0.479	0.322	+baseline	2025-07-24T05:54
700	    110	    dynamic	7	40	    0.427	0.330	0.500	0.330	+baseline	2025-07-24T06:05
700	    110	    dynamic	7	40	    0.417	0.335	0.496	0.335	+baseline	2025-07-24T06:12
700	    110	    dynamic	7	40	    0.421	0.331	0.487	0.331	+baseline	2025-07-24T06:36
700	    110	    dynamic	7	40	    0.415	0.315	0.479	0.315	+baseline	2025-07-24T07:43
700	    110	    dynamic	7	dynamic	0.404	0.323	0.471	0.323	dynamic pool size and double time reranking	2025-07-24T19:16
700	    110	    0.95	7	40	    0.424	0.336	0.504	0.336	revert to simpler retriever setting	2025-07-24T19:41
700	    110	    0.95	7	40	    0.421	0.331	0.487	0.331	reformulating query	2025-07-25T02:03
700	    110	    0.95	7	40	    0.436	0.336	0.504	0.336	reformulating query	2025-07-25T02:14
700	    110	    0.95	7	80	    0.415	0.345	0.496	0.345	reformulating query/RRF	2025-07-26T00:08
